City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
660,faya,SA,18.39,42.45,55.4,34,0,3.33,clear sky,2020-11-02 02:52:18
661,knysna,ZA,-34.04,23.05,55.4,100,0,2.24,clear sky,2020-11-02 02:52:18
662,baykit,RU,61.67,96.37,27.99,96,100,6.58,light snow,2020-11-02 02:52:18
663,dauphin,CA,51.15,-100.05,42.8,52,20,20.8,few clouds,2020-11-02 02:50:13
664,cartagena,CO,10.4,-75.51,78.8,100,40,4.7,scattered clouds,2020-11-02 02:52:18
665,aquidauana,BR,-20.47,-55.79,72.09,60,7,5.86,clear sky,2020-11-02 02:52:19
666,sept-iles,CA,50.2,-66.38,39.2,86,100,3.36,overcast clouds,2020-11-02 02:49:12
667,nyurba,RU,63.28,118.33,5.49,87,58,10.16,broken clouds,2020-11-02 02:52:19
668,ramnagar,IN,29.4,79.12,57.2,87,0,0.74,mist,2020-11-02 02:52:19
669,okhotsk,RU,59.38,143.3,23.25,87,100,19.64,overcast clouds,2020-11-02 02:52:19
670,hamadan,IR,34.8,48.51,39.25,65,0,0.89,clear sky,2020-11-02 02:52:19
671,urumqi,CN,43.8,87.6,41.0,48,0,4.47,clear sky,2020-11-02 02:52:09
672,sovetskiy,RU,61.36,63.58,25.63,96,92,5.41,overcast clouds,2020-11-02 02:52:19
673,quilmana,PE,-12.95,-76.38,62.98,74,58,3.76,broken clouds,2020-11-02 02:52:19
674,cosenza,IT,39.31,16.25,54.0,86,89,1.01,overcast clouds,2020-11-02 02:52:20
675,ituango,CO,7.17,-75.76,62.01,94,100,0.98,overcast clouds,2020-11-02 02:52:20
676,dolores,AR,-36.31,-57.68,50.59,63,14,3.6,few clouds,2020-11-02 02:52:20
677,labuhan,ID,-6.88,112.21,85.32,66,100,6.58,heavy intensity rain,2020-11-02 02:52:20
678,svetlogorsk,BY,52.63,29.73,43.09,85,100,7.47,overcast clouds,2020-11-02 02:52:20
679,gazli,UZ,40.13,63.45,51.19,37,0,8.34,clear sky,2020-11-02 02:52:21
680,lakes entrance,AU,-37.88,147.98,71.01,68,47,5.01,scattered clouds,2020-11-02 02:52:21
681,iseyin,NG,7.97,3.6,72.23,98,18,3.22,few clouds,2020-11-02 02:52:21
682,olinda,BR,-8.01,-34.86,80.6,74,40,6.93,scattered clouds,2020-11-02 02:51:21
683,ust-maya,RU,60.42,134.53,-2.42,87,100,5.97,overcast clouds,2020-11-02 02:52:21
684,guanare,VE,9.04,-69.74,73.45,92,100,1.19,overcast clouds,2020-11-02 02:52:21
685,insar,RU,53.87,44.37,41.88,91,92,6.71,overcast clouds,2020-11-02 02:52:22
686,tazovskiy,RU,67.47,78.7,19.58,97,98,14.45,overcast clouds,2020-11-02 02:52:22
687,diego de almagro,CL,-26.37,-70.05,54.09,42,0,0.96,clear sky,2020-11-02 02:52:22
688,bundaberg,AU,-24.85,152.35,84.2,51,7,21.92,clear sky,2020-11-02 02:52:22
689,bahia honda,CU,22.9,-83.16,78.48,86,9,11.3,clear sky,2020-11-02 02:52:22
690,whyalla,AU,-33.03,137.58,86.0,27,1,11.41,clear sky,2020-11-02 02:52:22
691,beruwala,LK,6.48,79.98,82.36,70,0,2.8,clear sky,2020-11-02 02:52:23
692,san rafael,AR,-34.62,-68.33,69.6,24,50,6.04,scattered clouds,2020-11-02 02:52:23
693,porto velho,BR,-8.76,-63.9,77.0,94,0,2.24,clear sky,2020-11-02 02:52:13
